year,reporterCode,partnerCode,reporter,partner,cmdCode,primaryValue,import_value,tradeFlow,refYear
2018,842,276,USA,DEU,01,429996.69738963933,560976.2590458929,Export,2018
2018,842,276,USA,DEU,02,247350.5742593969,297340.8814583554,Export,2018
2018,842,276,USA,DEU,03,80481.96661431501,89215.22647714439,Export,2018
2018,842,276,USA,DEU,04,69073.72914063402,56307.75961302363,Export,2018
2018,842,276,USA,DEU,05,12241.942582944166,10865.24425332946,Export,2018
2018,842,276,USA,DEU,06,85641.98353375318,72925.74470977199,Export,2018
2018,842,276,USA,DEU,07,1466623.170615842,1400397.4198819466,Export,2018
2018,842,276,USA,DEU,08,23732857.410447117,8163018.380432941,Export,2018
2018,842,826,USA,GBR,01,66107.79624627395,62251.150050744836,Export,2018
2018,842,826,USA,GBR,02,35160.25864450348,34022.7863999278,Export,2018
2018,842,826,USA,GBR,03,558951.1544879975,422472.7609678688,Export,2018
2018,842,826,USA,GBR,04,10506131.13495189,13014238.229191458,Export,2018
2018,842,826,USA,GBR,05,492721.73912344244,509609.11463114596,Export,2018
2018,842,826,USA,GBR,06,35823.95152528163,24479.980494080755,Export,2018
2018,842,826,USA,GBR,07,81555.72790708391,98798.60243629206,Export,2018
2018,842,826,USA,GBR,08,29856.90881048547,30659.63498850953,Export,2018
2018,842,392,USA,JPN,01,58960.14578926593,237826.9452503422,Export,2018
2018,842,392,USA,JPN,02,622499.7434317865,716496.930447069,Export,2018
2018,842,392,USA,JPN,03,46220.269525212956,43361.89365473804,Export,2018
2018,842,392,USA,JPN,04,16945.71139378217,20672.57145112116,Export,2018
2018,842,392,USA,JPN,05,30961.430734512418,23554.177027384692,Export,2018
2018,842,392,USA,JPN,06,569317.2579685295,603084.7607976337,Export,2018
2018,842,392,USA,JPN,07,279974.5646729663,243851.14018146618,Export,2018
2018,842,392,USA,JPN,08,1533635.1330492322,1637364.4629283382,Export,2018
2018,842,528,USA,NLD,01,73011.72469468662,51180.43237076225,Export,2018
2018,842,528,USA,NLD,02,48400.21794353668,43543.18789069744,Export,2018
2018,842,528,USA,NLD,03,345301.2478850757,425285.9071933293,Export,2018
2018,842,528,USA,NLD,04,73523.45091274472,81070.88949746879,Export,2018
2018,842,528,USA,NLD,05,1274154.2718979067,1318890.6677855665,Export,2018
2018,842,528,USA,NLD,06,56778.9171678603,53058.056791716706,Export,2018
2018,842,528,USA,NLD,07,1099757.6883773291,1035542.2495007748,Export,2018
2018,842,528,USA,NLD,08,164007.95061052032,156313.1196136294,Export,2018
2018,842,578,USA,NOR,01,224674.56247182642,133802.01791262787,Export,2018
2018,842,578,USA,NOR,02,239504.04524928637,235938.02565362945,Export,2018
2018,842,578,USA,NOR,03,158288.37287465855,105309.10815204796,Export,2018
2018,842,578,USA,NOR,04,178143.6123463058,265905.78194664064,Export,2018
2018,842,578,USA,NOR,05,333244.3051758451,315980.3410285146,Export,2018
2018,842,578,USA,NOR,06,154497.36890628326,118385.83252412805,Export,2018
2018,842,578,USA,NOR,07,514497.1310548299,396184.1345690328,Export,2018
